名前,ウェブサイト,距離と料理の種類,スローガン,評価,昼間の料金,夜間の料金
焼肉GROW,https://tabelog.com/tokyo/A1302/A130202/13181252/,日本橋駅 248m / 焼肉、ホルモン、ステーキ,日本橋の隠れ家焼肉店で豊富な肉寿司と極上Ａ5和牛を味わい尽くす。,3.48,"￥1,000～￥1,999","￥8,000～￥9,999"
鍛冶町 銀座豊か,https://tabelog.com/tokyo/A1302/A130202/13298562/,新日本橋駅 236m / 寿司,時代を拓く話題の新名店20選に選出！ 【新日本橋駅A1、A2出口、神田駅南口徒分2分】,3.31,"￥20,000～￥29,999","￥20,000～￥29,999"
メザニーン,https://tabelog.com/tokyo/A1302/A130202/13102589/,新日本橋駅 130m / フレンチ、ビストロ、イノベーティブ,【三越前駅直結】銀座レカン出身の出口シェフによる次世代フレンチを愉しめる贅沢空間,3.51,"￥6,000～￥7,999","￥15,000～￥19,999"
日本橋 1ppon,https://tabelog.com/tokyo/A1302/A130202/13240280/,新日本橋駅 215m / イタリアン、居酒屋、肉バル,駅近!!三越前駅4分・神田駅3分シャンパン飲み放題まで堪能できる一軒家大人イタリアン,3.28,"￥1,000～￥1,999","￥6,000～￥7,999"
日本橋 本陣房 はなれ,https://tabelog.com/tokyo/A1302/A130202/13253177/,日本橋駅 212m / そば、居酒屋、海鮮,【日本橋駅1分・東京駅3分】蕎麦の名店「本陣房」のはなれがオープン！個室完備・換気◎,3.38,～￥999,"￥6,000～￥7,999"
名物家 東京店,https://tabelog.com/tokyo/A1302/A130202/13299392/,京橋駅 230m / 居酒屋、焼き鳥、牛タン,【8/17ニューオープン東京・京橋駅近】最高鮮度の海鮮と各地の日本酒と牛タンと創作和食,3.03,～￥999,"￥3,000～￥3,999"
美酒美肴 おてんとさん 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13273296/,新日本橋駅 177m / 居酒屋、日本酒バー、海鮮,三越前駅すぐ◆完全個室×100種以上の日本酒×鮮魚料理でおもてなし◎お一人様やご宴会も◎,3.32,"￥1,000～￥1,999","￥4,000～￥4,999"
全席個室 楽蔵うたげ  八重洲店,https://tabelog.com/tokyo/A1302/A130202/13056226/,東京駅 350m / 居酒屋、焼き鳥、鍋,【全席個室】東京駅徒&日本橋駅徒歩3分｜接待・会食・宴会に｜ 飲み放題付きコース4300円～,3.08,-,"￥4,000～￥4,999"
Che Voglia!  三越前コレド室町1,https://tabelog.com/tokyo/A1302/A130202/13117739/,三越前駅 102m / イタリアン、ピザ、パスタ,歓送迎会、懇親会の団体様のご予約が増えてます！お早めのご連絡お待ちしております！,3.48,"￥2,000～￥2,999","￥4,000～￥4,999"
釣宿酒場マヅメ 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13269910/,日本橋駅 335m / 居酒屋、海鮮、寿司,大好評!どん安ドリンク!飲めば飲むほどお得なドリンク!毎日産直のお刺身が食べられまdす!,3.35,～￥999,"￥2,000～￥2,999"
串亭 日本橋三越前,https://tabelog.com/tokyo/A1302/A130202/13117448/,三越前駅 130m / 居酒屋、海鮮、串揚げ,【三越前駅直結コレド室町1-4階】絶賛！夏の新串展開中です！,3.33,"￥1,000～￥1,999","￥6,000～￥7,999"
ZION イタリアン＆スペイン 八重洲南口店,https://tabelog.com/tokyo/A1302/A130202/13280511/,宝町駅 160m / イタリアン、スペイン料理、居酒屋,～東京駅 八重洲南口から真っ直ぐ京橋方面へ早歩き 徒歩7分～ 宝町、京橋駅からはすぐです。,3.21,～￥999,"￥4,000～￥4,999"
A4和牛と厳選日本酒 個室居酒屋 おすすめ酒場 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13302014/,三越前駅 30m / 居酒屋、鍋、肉料理,【10月10日OPEN】三越駅前徒歩1分◎和牛と日本酒なら当店におまかせください！,3,～￥999,"￥3,000～￥3,999"
雪園 京橋店,https://tabelog.com/tokyo/A1302/A130202/13002264/,京橋駅 143m / 中華料理、創作料理、海鮮,東京銀座のオフィス街に佇む一軒家中華レストランでシェフが目利きした至高の食材を五感で愉しむ,3.47,"￥1,000～￥1,999","￥6,000～￥7,999"
個室中華 頤和園 京橋店,https://tabelog.com/tokyo/A1302/A130202/13205123/,京橋駅 57m / 中華料理、飲茶・点心、担々麺,"土日祝日が得！北京ダック等7品入りコース 3,980円",3.5,"￥1,000～￥1,999","￥10,000～￥14,999"
シュマッツ 日本橋髙島屋 S.C.,https://tabelog.com/tokyo/A1302/A130202/13225175/,日本橋駅 128m / ビアホール、バル、居酒屋,◆日本橋高島屋S.C新館7階◆ 東京駅 八重洲口徒歩5分！日本橋駅直結！,3.26,"￥1,000～￥1,999","￥3,000～￥3,999"
大衆焼き鳥・うなぎ 幸の鳥 うなぎのぼり,https://tabelog.com/tokyo/A1302/A130202/13259309/,日本橋駅 313m / 居酒屋、焼き鳥、うなぎ,さくら通り桜見えます【八重洲北口1分】東京駅・日本橋駅すぐ｜焼き鳥とうなぎ串|電話予約OK,3.39,-,"￥3,000～￥3,999"
炭火地鶏 個室居酒屋 地鶏雛丸 東京駅八重洲店,https://tabelog.com/tokyo/A1302/A130202/13271815/,日本橋駅 254m / 居酒屋、焼き鳥、もつ鍋,"当日予約OK★東京駅八重洲3分♪3時間飲み放題×本格地鶏⇒4,000円～【本格地鶏を嗜む】",3.09,"￥2,000～￥2,999","￥3,000～￥3,999"
みなと屋第1 はなれ,https://tabelog.com/tokyo/A1302/A130202/13298374/,日本橋駅 289m / 寿司、焼き鳥、居酒屋,【日本橋駅1分】職人の技が冴える江戸前寿司や地鶏の焼き鳥。寛ぎの和空間は、ご宴会や接待◎,3.1,-,"￥5,000～￥5,999"
博多串焼き 野菜巻き 個室居酒屋 繁花 東京駅八重洲店,https://tabelog.com/tokyo/A1302/A130202/13309763/,日本橋駅 307m / 居酒屋、焼き鳥、海鮮,,3.08,"￥3,000～￥3,999","￥4,000～￥4,999"
全席個室 ウメ子の家  日本橋八重洲店,https://tabelog.com/tokyo/A1302/A130202/13035566/,日本橋駅 276m / 居酒屋,各種宴会予約受付中！東京駅八重洲北口徒歩3分！宴会最大36名様！コース4000円～！,3.06,-,"￥4,000～￥4,999"
個室居酒屋 鳥将,https://tabelog.com/tokyo/A1302/A130202/13252740/,東京駅 361m / 居酒屋、ダイニングバー、焼き鳥,東京駅 徒歩4分!!完全個室×彩り和食 ◆2名様～80名様まで個室有!!貸切宴会も◎,3,"￥3,000～￥3,999","￥4,000～￥4,999"
