名前,ウェブサイト,距離と料理の種類,スローガン,評価,昼間の料金,夜間の料金
牛タン みはし,https://tabelog.com/tokyo/A1302/A130202/13305784/,三越前駅 172m / 牛タン、居酒屋、ステーキ,【三越前駅直結】丁寧に焼き上げた“牛タン”と炊き立てご飯が自慢のお店。,3.08,"￥1,000～￥1,999","￥2,000～￥2,999"
近江牛もりしま 寛閑観ここ滋賀店,https://tabelog.com/tokyo/A1302/A130202/13283556/,日本橋駅 71m / 牛料理、ステーキ、すき焼き,東京・日本橋駅すぐ◆滋賀が誇る“近江牛”や地酒をコースで堪能。歓送迎会・貸切宴会も大歓迎◎,3.39,"￥2,000～￥2,999","￥6,000～￥7,999"
ご当地酒場 北海道八雲町 日本橋別館,https://tabelog.com/tokyo/A1302/A130202/13128617/,日本橋駅 189m / 海鮮、居酒屋、日本酒バー,都心にいながら北海道八雲町を味わえる“アンテナショップ型居酒屋”！北海道の食をご堪能下さい,3.43,"￥1,000～￥1,999","￥5,000～￥5,999"
サクレフルール 日本橋,https://tabelog.com/tokyo/A1302/A130202/13231368/,新日本橋駅 167m / ビストロ、ステーキ、ワインバー,コレド室町裏/パリで人気の塊肉ステーキの名店！ワイン豊富な肉ビストロ 【個室/接待/記念日】,3.48,"￥1,000～￥1,999","￥6,000～￥7,999"
代官山ASO チェレステ 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13021095/,三越前駅 61m / イタリアン、パスタ、イノベーティブ,【三越前駅徒歩1分】肩肘はらずに、五感で楽しめるイタリア料理,3.69,"￥4,000～￥4,999","￥8,000～￥9,999"
SALONE VENDREDI,https://tabelog.com/tokyo/A1302/A130202/13224681/,新日本橋駅 81m / カフェ、バー,和モダンな空間で優雅なひと時を楽しめるカフェ&レストラン,3.48,"￥1,000～￥1,999","￥2,000～￥2,999"
GLASS DANCE 八重洲,https://tabelog.com/tokyo/A1302/A130202/13222347/,日本橋駅 309m / スペイン料理、ダイニングバー、ワインバー,【八重洲口3分・個室完備】自慢のパエリアやタパスなどを楽しむカジュアルスペインバル,3.31,-,"￥3,000～￥3,999"
花ごよみ  東京,https://tabelog.com/tokyo/A1302/A130202/13092020/,日本橋駅 322m / 日本料理、しゃぶしゃぶ、ビュッフェ,季節の味覚とお酒が楽しめる本格日本料理店,3.44,"￥1,000～￥1,999","￥8,000～￥9,999"
新世界,https://tabelog.com/tokyo/A1302/A130202/13099828/,宝町駅 162m / 中華料理、居酒屋,"【京橋駅3分】お得なコースは3,980円から！本格的な味をリーズナブルに楽しめる中華料理店",3.29,～￥999,"￥3,000～￥3,999"
ちゃい九炉 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13123313/,日本橋駅 326m / 居酒屋,JR東京駅3分◆北海道仕入の海鮮と本場大阪仕込みの串揚げを多彩なお酒と共に堪能！貸切可,3.06,-,"￥3,000～￥3,999"
東京千鳥屋 八重洲本店,https://tabelog.com/tokyo/A1302/A130202/13289193/,日本橋駅 335m / 居酒屋,【完全個室あり】日本橋駅近の完全個室居酒屋！ 炭火で焼き上げる焼き鳥が美味い店！,3,"￥3,000～￥3,999","￥3,000～￥3,999"
モダン中華181,https://tabelog.com/tokyo/A1302/A130202/13305785/,三越前駅 187m / 中華料理、居酒屋、四川料理,三越前駅直結＆貸切可能◆多彩なバリエーションの「麻婆豆富」「洗練された町中華」のお店。,3.08,"￥1,000～￥1,999","￥2,000～￥2,999"
フランツィスカーナー バー＆グリル 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13023624/,日本橋駅 264m / ドイツ料理、ビアバー、ビアホール,ドイツ・ミュンヘンの樽生ビールとワイン・ドイツ料理の旨い店！,3.4,-,"￥6,000～￥7,999"
バンゲラズキッチントラディショナル,https://tabelog.com/tokyo/A1302/A130202/13290466/,日本橋駅 31m / インド料理、インドカレー、アジア・エスニック,"【個室貸切OK◎半個室多数◎】銀座のミシュラン店""バンゲラズ""による、インド伝統料理専門店",3.41,"￥1,000～￥1,999","￥5,000～￥5,999"
本格四川料理 麻辣先生 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13292107/,新日本橋駅 58m / 四川料理、汁なし担々麺,【新日本橋駅1分】薬膳香辛料を使った身体に優しいこだわりの『本格四川料理』を堪能◆個室あり,3.47,～￥999,"￥4,000～￥4,999"
料理屋 ニチニチコレコウニチ,https://tabelog.com/tokyo/A1302/A130202/13261562/,日本橋駅 144m / 日本料理、水炊き、居酒屋,【日本橋駅直通】日本橋を眺めれるデートにも会食にも‼解放感あるテーブル席、個室もご用意♪,3.41,"￥1,000～￥1,999","￥6,000～￥7,999"
ムロマチカフェハチ,https://tabelog.com/tokyo/A1302/A130202/13182343/,新日本橋駅 60m / ダイニングバー、カフェ、イタリアン,新日本橋、三越前駅直結！団体様大歓迎！,3.47,～￥999,"￥4,000～￥4,999"
東京料理しゃぶしゃぶ うま粋 東京駅前店,https://tabelog.com/tokyo/A1302/A130202/13252666/,日本橋駅 254m / しゃぶしゃぶ、焼肉、居酒屋,【東京駅徒歩1分】美容健康に◎レタスしゃぶしゃぶ/夜景を楽しめる店内/食べ放題・飲み放題有,3,"￥1,000～￥1,999","￥4,000～￥4,999"
殿,https://tabelog.com/tokyo/A1302/A130202/13210408/,三越前駅 116m / 居酒屋、日本酒バー、日本料理,三越前2分◆ビール・ハイボール199円！豊洲直送の新鮮な魚料理や串焼きを堪能◆フロア貸切◎,3.14,～￥999,"￥2,000～￥2,999"
華龍飯店 京橋本店,https://tabelog.com/tokyo/A1302/A130202/13042631/,宝町駅 192m / 中華料理、居酒屋、海鮮,■歓送迎会承ります■1998年から愛される伝統の味。飲み放題付きコース3980円~♪,3.44,～￥999,"￥4,000～￥4,999"
鮨　日本橋　鰤門,https://tabelog.com/tokyo/A1302/A130202/13116806/,三越前駅 130m / 寿司,ご会食、ご接待等に各種個室もご用意しております。,3.62,"￥8,000～￥9,999","￥20,000～￥29,999"
まぐろ人別庵 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13222464/,日本橋駅 45m / 寿司、海鮮、居酒屋,【日本橋駅徒歩1分】歓送迎会受付中◆木を基調とした店内｜生本まぐろや豊洲直送鮮魚を熟年技で,3.3,"￥1,000～￥1,999","￥4,000～￥4,999"
ビストロ　ガール・ド・リヨン,https://tabelog.com/tokyo/A1302/A130202/13040139/,宝町駅 158m / ビストロ、居酒屋、バル,宝町徒歩3分、八丁堀徒歩5分。八丁堀に佇む自然派ワイン中心のワインビストロ。,3.6,-,"￥6,000～￥7,999"
魚々十 日本橋,https://tabelog.com/tokyo/A1302/A130202/13155463/,日本橋駅 151m / 居酒屋,日本橋駅1分◆大ぶりで新鮮な牡蠣料理や旬の鮮魚を、全国各地の日本酒と共に楽しむ◎コースあり,3.37,"￥1,000～￥1,999","￥5,000～￥5,999"
豚バルBYO-塊- 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13127699/,日本橋駅 368m / ダイニングバー、居酒屋、肉バル,東京駅八重洲口・日本橋駅5分！全席喫煙可◎肉塊◎《牡蠣や松坂豚の一皿19時まで100円！》,3.4,～￥999,"￥4,000～￥4,999"
てけてけ 日本橋三越前店,https://tabelog.com/tokyo/A1302/A130202/13187663/,三越前駅 191m / 居酒屋、焼き鳥、食堂,"鮮度・美味しさにこだわった鳥料理を平均予算2,500円で楽しめる居酒屋",3.07,～￥999,"￥2,000～￥2,999"
マザーインディア 三越前店,https://tabelog.com/tokyo/A1302/A130202/13253179/,新日本橋駅 177m / インド料理、インドカレー、アジア・エスニック,コレド室町テラス1F◆スパイスにこだわる本格インド料理店。お買い物の途中にお立ち寄り下さい,3.43,～￥999,"￥2,000～￥2,999"
個室会席 北大路 八重洲茶寮,https://tabelog.com/tokyo/A1302/A130202/13095999/,京橋駅 256m / 日本料理、すき焼き,全席完全個室のおもてなし、四季折々の日本料理 ご接待ご会食、歓迎会、送別会、お祝い顔合せに,3.26,"￥3,000～￥3,999","￥10,000～￥14,999"
麹蔵 八重洲一丁目店,https://tabelog.com/tokyo/A1302/A130202/13044641/,日本橋駅 259m / 居酒屋、沖縄料理、豚しゃぶ,【 日本橋駅 徒歩1分】奄美・鹿児島・沖縄料理が味わえる専門店◎個室●ランチ会食,3.33,"￥1,000～￥1,999","￥4,000～￥4,999"
洋食 麦星 by グリル満天星 麻布十番 日本橋髙島屋店,https://tabelog.com/tokyo/A1302/A130202/13061065/,日本橋駅 219m / 洋食、フレンチ、ビストロ,★日本橋駅＆高島屋★同窓会や歓送迎会など初夏のお祝いに！ワイン片手に本格洋食をぜひどうぞ,3.26,"￥1,000～￥1,999","￥2,000～￥2,999"
Suolo日本橋,https://tabelog.com/tokyo/A1302/A130202/13101047/,新日本橋駅 275m / イタリアン、ワインバー、ピザ,1月より店名変更を伴うリニューアルになります。中身は特に変わりませんのでお気軽に笑,3.43,"￥1,000～￥1,999","￥6,000～￥7,999"
東京 まんまる,https://tabelog.com/tokyo/A1302/A130202/13209804/,宝町駅 100m / 居酒屋、日本料理、もつ焼き,"京橋駅・宝町駅1分◆こだわりの和食を約20種の日本酒と共に◎飲み放題付コース4,000円～",3.06,-,"￥3,000～￥3,999"
タイレストラン 沌 コレド日本橋店,https://tabelog.com/tokyo/A1302/A130202/13108338/,日本橋駅 48m / タイ料理、アジア・エスニック、ダイニングバー,【日本橋駅直結1分】ビジネス街で楽しむ「甘・辛・酸」の本格タイ料理♪女性お一人様も大歓迎！,3.48,"￥1,000～￥1,999","￥3,000～￥3,999"
焼鳥IPPON⁺ Tokyo,https://tabelog.com/tokyo/A1302/A130202/13309706/,宝町駅 124m / 居酒屋、焼き鳥、ビュッフェ,【京橋駅 徒歩3分】7月OPEN！『焼鳥×酒肴細巻き』自由で粋な大人の居酒屋,,"￥1,000～￥1,999","￥5,000～￥5,999"
熟成魚場 福井県美浜町 日本橋本店,https://tabelog.com/tokyo/A1302/A130202/13183978/,日本橋駅 31m / 居酒屋、海鮮、郷土料理,◇日本橋駅徒歩1分＊駅直結◇2Ｈ飲み放題付コース<全9品>5500円～◇宴会12名様迄可◎,3.44,"￥1,000～￥1,999","￥5,000～￥5,999"
むろまち鳥や,https://tabelog.com/tokyo/A1302/A130202/13308952/,三越前駅 152m / 焼き鳥、鳥料理、居酒屋,★６/１１より新店オープン★三越前駅1分・新鮮な百日雛の炭火焼き鳥が味わえる隠れ家空間,3.04,"￥1,000～￥1,999","￥6,000～￥7,999"
鳥かく,https://tabelog.com/tokyo/A1302/A130202/13274531/,日本橋駅 103m / 焼き鳥、親子丼、そば,【日本橋駅直結】熟練の職人が厳選した本格焼鳥を日本酒やワインと共に。,3.38,"￥1,000～￥1,999","￥5,000～￥5,999"
酒処 ミヤノカラス,https://tabelog.com/tokyo/A1302/A130202/13275572/,新日本橋駅 111m / 居酒屋、肉バル、焼酎バー,新日本橋駅1分◆居酒屋創作料理を様々なお酒とともに堪能。完全個室で接待にも,3.31,～￥999,"￥4,000～￥4,999"
韓豚屋 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13133710/,日本橋駅 289m / 韓国料理、焼肉、居酒屋,歓送迎会ご予約受付中です。！！！,3.16,～￥999,"￥4,000～￥4,999"
個室×日本酒バル 魚の目利き 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13186924/,東京駅 349m / 居酒屋、海鮮、しゃぶしゃぶ,【全コース 獺祭含む銘柄日本酒20種飲み放題付き】十四代や新政、鍋島など常備全40種以上！,3.12,"￥3,000～￥3,999","￥4,000～￥4,999"
うどん酒場やま福,https://tabelog.com/tokyo/A1302/A130202/13263647/,日本橋駅 150m / 居酒屋、串揚げ,【日本橋駅直結！徒歩10秒】希少銘柄含む日本酒約30種類の飲み放題がお1人様1500円,3.39,～￥999,"￥2,000～￥2,999"
土佐料理 祢保希 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13001323/,三越前駅 186m / 日本料理、しゃぶしゃぶ、居酒屋,【完全個室：2名様～】【ホール席貸切～26名様◎】 銀座線「三越前駅」直結。ご予約承ります！,3.38,"￥1,000～￥1,999","￥8,000～￥9,999"
イルキャンティ 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13024471/,三越前駅 93m / イタリアン、パスタ、ピザ,食でも最先端をいくこの地で「イルキャンティ日本橋」建て替えが終わり再登場！,3.34,"￥1,000～￥1,999","￥3,000～￥3,999"
XEX 日本橋 Salvatore Cuomo Bros.,https://tabelog.com/tokyo/A1302/A130202/13116792/,新日本橋駅 177m / イタリアン、ピザ、ステーキ,【三越前駅直結】国内外で活躍中のサルヴァトーレ・クオモがグランシェフをつとめるリストランテ,3.45,"￥4,000～￥4,999","￥6,000～￥7,999"
日本橋 竹田,https://tabelog.com/tokyo/A1302/A130202/13271291/,日本橋駅 309m / 居酒屋、日本料理、日本酒バー,東京駅八重洲北口3分◆全国の多彩な日本酒と茨城県の郷土料理が味わえる和風居酒屋。半個室あり,3.24,-,"￥6,000～￥7,999"
